Date,Open,High,Low,Close,Adj Close,Volume
2023-06-20,27.490000,27.670000,27.219999,27.490000,27.390944,39100
2023-06-21,27.400000,27.549999,27.139999,27.480000,27.380980,37200
2023-06-22,27.290001,27.440001,26.940001,27.440001,27.341125,44500
2023-06-23,27.120001,27.510000,26.760000,27.129999,27.032240,192400
2023-06-26,26.959999,27.889999,26.959999,27.400000,27.301268,89100
2023-06-27,27.450001,27.660000,27.059999,27.330000,27.231522,81500
2023-06-28,27.350000,28.139999,27.200001,28.040001,27.938963,99200
2023-06-29,33.250000,35.590000,33.250000,33.759998,33.638351,582600
2023-06-30,33.480000,33.619999,31.660000,32.470001,32.353001,226100
2023-07-03,32.150002,33.189999,32.150002,33.150002,33.030552,77900
2023-07-05,33.150002,33.340000,32.380001,32.480000,32.362965,124700
2023-07-06,32.000000,33.090000,31.879999,33.049999,32.930908,76300
2023-07-07,33.150002,34.130001,33.150002,33.660000,33.538712,191100
2023-07-10,33.669998,34.160000,33.410000,33.919998,33.797771,110600
2023-07-11,34.009998,34.230000,33.860001,34.189999,34.066799,96300
2023-07-12,34.450001,34.730000,33.500000,33.570000,33.449036,74500
2023-07-13,33.700001,34.009998,33.549999,33.959999,33.837631,110300
2023-07-14,33.770000,34.220001,33.580002,34.020000,33.897415,80300
2023-07-17,34.049999,34.340000,33.580002,33.730000,33.608459,65900
2023-07-18,33.860001,34.189999,33.360001,33.470001,33.349396,67500
2023-07-19,33.669998,33.669998,33.000000,33.380001,33.259720,116300
2023-07-20,33.490002,34.029999,33.279999,33.959999,33.837631,158800
2023-07-21,34.080002,34.240002,33.470001,33.570000,33.449036,80600
2023-07-24,33.450001,33.700001,33.060001,33.279999,33.160080,47400
2023-07-25,33.080002,33.779999,33.080002,33.619999,33.498856,48700
2023-07-26,33.560001,34.110001,33.369999,33.419998,33.299576,27400
2023-07-27,33.529999,33.529999,32.259998,32.509998,32.392853,175800
2023-07-28,32.689999,32.980000,32.400002,32.400002,32.283253,64400
2023-07-31,32.680000,32.810001,32.250000,32.369999,32.253361,48700
2023-08-01,32.290001,32.480000,32.000000,32.299999,32.183613,41900
2023-08-02,31.879999,32.139999,31.770000,31.900000,31.785053,77400
